ID	LABEL_2
51316	-1.0
50454	1.0
50490	1.0
50370	-1.0
51001	-1.0
50337	-1.0
51127	-1.0
50387	-1.0
51353	-1.0
51120	1.0
50754	1.0
50162	1.0
50005	1.0
50032	1.0
51472	1.0
50004	1.0
50443	1.0
50287	-1.0
50150	1.0
50781	1.0
50518	1.0
51128	1.0
50467	1.0
50745	-1.0
51268	1.0
50362	-1.0
51277	1.0
50117	1.0
51212	-1.0
50447	1.0
51261	1.0
51013	1.0
50290	-1.0
50776	1.0
50145	1.0
50669	1.0
50563	-1.0
51000	-1.0
50274	-1.0
51227	-1.0
50508	1.0
50554	-1.0
50002	1.0
51217	1.0
50818	-1.0
50825	-1.0
51230	1.0
50644	1.0
51166	-1.0
51477	1.0
51012	1.0
50152	1.0
50342	-1.0
50325	-1.0
50970	1.0
50571	-1.0
50168	1.0
50500	1.0
50487	-1.0
51351	1.0
51194	-1.0
50791	1.0
50703	-1.0
50015	-1.0
50793	1.0
51259	-1.0
50419	-1.0
50237	1.0
51019	1.0
51180	-1.0
50011	1.0
51460	1.0
50797	1.0
51084	-1.0
50451	1.0
50376	-1.0
50790	1.0
51481	1.0
50020	1.0
51131	1.0
51088	1.0
51294	1.0
50109	-1.0
50333	-1.0
51213	-1.0
50449	1.0
50345	-1.0
50305	-1.0
50050	1.0
50808	1.0
51106	1.0
51192	-1.0
50410	-1.0
51110	1.0
51093	1.0
50318	-1.0
50476	1.0
50119	1.0
51231	1.0
50103	-1.0
51279	1.0
50153	1.0
51165	-1.0
50722	1.0
51063	1.0
50041	-1.0
50132	-1.0
50189	-1.0
50270	1.0
51134	1.0
50026	-1.0
51042	-1.0
51056	1.0
50411	-1.0
51023	-1.0
51026	1.0
51097	1.0
51177	-1.0
50521	1.0
51237	1.0
50576	-1.0
50692	1.0
50123	1.0
50529	1.0
51184	-1.0
50196	-1.0
51207	-1.0
50126	-1.0
50578	-1.0
50014	1.0
50960	1.0
50308	-1.0
50315	1.0
50247	1.0
51215	1.0
51024	1.0
50959	1.0
50607	1.0
50182	-1.0
50605	-1.0
51044	1.0
50309	-1.0
50798	1.0
50517	1.0
51172	-1.0
50658	1.0
50385	1.0
50495	1.0
51357	1.0
50125	1.0
50491	1.0
51095	-1.0
51174	-1.0
50741	1.0
50397	-1.0
50751	1.0
51087	1.0
50735	-1.0
50993	1.0
51140	1.0
51113	1.0
51303	1.0
50353	-1.0
51048	1.0
50007	-1.0
50749	-1.0
50251	1.0
50978	1.0
51091	1.0
51238	-1.0
50029	1.0
51198	-1.0
50374	-1.0
50297	-1.0
50057	1.0
51011	1.0
50190	-1.0
51221	1.0
51051	1.0
50010	1.0
51251	-1.0
51204	1.0
50624	-1.0
50163	1.0
50503	1.0
51169	-1.0
50214	1.0
51183	-1.0
51313	1.0
51059	1.0
50601	-1.0
50161	1.0
50746	1.0
50813	1.0
50520	1.0
50306	-1.0
50289	-1.0
50698	1.0
50805	1.0
50704	1.0
51298	1.0
50650	1.0
51161	-1.0
50461	1.0
50244	1.0
51560	-1.0
51302	1.0
50623	-1.0
50424	-1.0
50348	-1.0
50373	-1.0
51117	1.0
50962	1.0
50391	1.0
51326	1.0
50212	-1.0
51327	1.0
51218	1.0
50489	-1.0
51493	1.0
51307	1.0
51241	1.0
50313	-1.0
50114	1.0
51220	1.0
51096	1.0
50530	1.0
51072	-1.0
50423	-1.0
50028	1.0
50269	1.0
51255	1.0
50030	1.0
50268	1.0
50156	1.0
51226	1.0
50727	1.0
50448	1.0
50505	1.0
51149	1.0
50238	1.0
50732	1.0
51491	-1.0
50322	-1.0
51249	1.0
50303	-1.0
50354	-1.0
50817	1.0
51202	1.0
50786	1.0
50981	1.0
50742	1.0
50307	-1.0
51318	1.0
50799	1.0
51276	1.0
50459	1.0
51055	1.0
50053	-1.0
50242	-1.0
51041	1.0
51224	1.0
50404	-1.0
51081	1.0
50332	-1.0
50964	1.0
50124	1.0
50360	-1.0
51325	1.0
51058	1.0
51355	-1.0
50466	1.0
50618	-1.0
50968	1.0
51137	1.0
50133	-1.0
50160	1.0
50748	1.0
50211	-1.0
50628	-1.0
50275	-1.0
50987	-1.0
50006	1.0
50481	1.0
50645	1.0
50458	1.0
50164	1.0
50743	1.0
50296	-1.0
50654	1.0
50142	1.0
51201	1.0
50788	-1.0
51254	1.0
50723	1.0
50295	-1.0
50613	-1.0
50349	-1.0
51483	1.0
50193	1.0
51032	1.0
50043	1.0
50611	-1.0
50055	1.0
51171	-1.0
50617	-1.0
50434	1.0
50185	-1.0
50427	-1.0
50265	-1.0
51250	-1.0
50209	-1.0
50019	-1.0
50024	1.0
50241	1.0
51069	1.0
50136	-1.0
51178	-1.0
50696	1.0
51264	1.0
50170	1.0
51062	1.0
51456	1.0
50235	-1.0
50701	1.0
50606	-1.0
51034	-1.0
51185	-1.0
50478	1.0
50572	1.0
51340	1.0
50201	-1.0
51311	1.0
51016	1.0
51306	1.0
50120	-1.0
50971	1.0
50507	1.0
50652	1.0
51235	1.0
51083	1.0
51297	-1.0
50509	1.0
50688	1.0
50217	-1.0
50252	1.0
50444	1.0
51007	1.0
51029	1.0
51164	-1.0
50335	-1.0
50565	-1.0
50059	1.0
50620	-1.0
50271	1.0
50532	1.0
50364	-1.0
50129	-1.0
50621	-1.0
51492	1.0
50779	-1.0
51168	-1.0
50497	1.0
51312	-1.0
50200	-1.0
50504	1.0
51153	1.0
50128	-1.0
51223	1.0
51191	-1.0
51099	1.0
50417	-1.0
50744	-1.0
50008	1.0
51348	-1.0
51086	1.0
50294	-1.0
50557	-1.0
51193	-1.0
51199	-1.0
51281	1.0
50048	-1.0
50260	1.0
50146	1.0
50246	1.0
50561	-1.0
50736	1.0
51300	1.0
51239	-1.0
50976	1.0
50023	1.0
51047	1.0
50955	-1.0
50280	-1.0
50999	-1.0
50733	1.0
50958	1.0
51074	1.0
50740	1.0
50169	1.0
50407	-1.0
51094	-1.0
50361	-1.0
51139	1.0
51181	-1.0
50710	1.0
51008	-1.0
50804	1.0
50040	1.0
50493	1.0
50524	1.0
51301	1.0
50328	-1.0
50957	1.0
50304	-1.0
50777	1.0
50134	1.0
51368	1.0
51343	1.0
50216	-1.0
50811	1.0
51267	1.0
50422	-1.0
50428	-1.0
50438	1.0
50127	-1.0
50473	1.0
50171	1.0
51350	-1.0
50331	-1.0
50363	-1.0
50570	-1.0
50263	1.0
50378	-1.0
50406	-1.0
51260	1.0
50122	-1.0
51054	1.0
51304	1.0
50826	-1.0
50566	-1.0
50514	1.0
50709	-1.0
50815	-1.0
50445	1.0
50442	1.0
50339	-1.0
51142	1.0
50558	1.0
50730	-1.0
51252	-1.0
50102	-1.0
50455	1.0
51197	-1.0
51017	-1.0
50477	1.0
50330	-1.0
51206	1.0
50291	-1.0
50699	1.0
51138	1.0
50499	1.0
50137	-1.0
51296	-1.0
51219	-1.0
51121	1.0
50352	-1.0
50794	-1.0
50415	-1.0
51370	1.0
51076	1.0
50685	1.0
50800	1.0
50267	1.0
51322	1.0
51126	1.0
50985	1.0
50147	1.0
